City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,75.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
1,Rikitea,PF,66.13,overcast clouds,-23.12,-134.97,Pension Maro'i
2,Saint-Philippe,RE,71.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
3,Victoria,HK,84.99,overcast clouds,22.29,114.16,Mini Hotel Central
4,Kapaa,US,78.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
5,Airai,TL,57.78,scattered clouds,-8.93,125.41,Juvinal Martin
6,Hamilton,US,75.99,light rain,39.18,-84.53,Six Acres Bed & Breakfast
7,San Patricio,MX,80.47,clear sky,19.22,-104.7,Hotel Cabo Blanco
9,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
10,Danjiangkou,CN,72.36,overcast clouds,32.54,111.51,Dongsheng Guesthouse
12,Yakeshi,CN,64.0,overcast clouds,49.28,120.73,Longhua Hotel
13,Shimoda,JP,75.0,light rain,34.67,138.95,Shimoda Tokyu Hotel
14,Portland,US,61.0,few clouds,45.52,-122.68,Portland Marriott City Center
15,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
16,Hithadhoo,MV,83.62,clear sky,-0.6,73.08,Scoop Guest House
17,Talnakh,RU,62.6,overcast clouds,69.49,88.4,Talnakh Hotel
18,Puerto Ayora,EC,66.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
19,Kruisfontein,ZA,66.0,clear sky,-34.0,24.73,Oyster Bay House Rental
20,Hasaki,JP,78.8,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
21,Yulara,AU,55.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
22,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
23,Mount Isa,AU,62.6,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
24,Port Elizabeth,ZA,73.4,clear sky,-33.92,25.57,39 On Nile Guest House
28,Busselton,AU,54.0,overcast clouds,-33.65,115.33,Observatory Guest House
29,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Yellowknife,CA,50.0,broken clouds,62.46,-114.35,The Explorer Hotel
32,Yilan,TW,80.6,light intensity shower rain,24.76,121.75,Dar Chen Hotel
33,Thiruvananthapuram,IN,84.2,haze,8.48,76.92,Hotel Residency Tower
35,Bengkulu,ID,79.0,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
36,Sitka,US,53.6,mist,57.05,-135.33,Westmark Sitka
38,Vao,NC,72.07,clear sky,-22.67,167.48,Hotel Kou-Bugny
39,Geraldton,AU,60.8,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
40,Lulea,SE,64.4,scattered clouds,65.58,22.15,Comfort Hotel Arctic
41,Esperance,AU,55.4,broken clouds,-33.87,121.9,Hospitality Esperance
43,Mahebourg,MU,73.4,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
