City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bethel,41.37,-73.41,75.99,83,1,1.99,US,2020-08-22 14:09:54,clear sky
1,Rikitea,-23.12,-134.97,66.13,71,100,19.55,PF,2020-08-22 14:17:26,overcast clouds
2,Saint-Philippe,-21.36,55.77,71.6,68,35,19.46,RE,2020-08-22 14:17:57,scattered clouds
3,Victoria,22.29,114.16,84.99,75,100,1.99,HK,2020-08-22 14:18:56,overcast clouds
4,Kapaa,22.08,-159.32,78.8,74,1,13.87,US,2020-08-22 14:21:40,clear sky
5,Airai,-8.93,125.41,57.78,65,30,4.07,TL,2020-08-22 14:21:40,scattered clouds
6,Hamilton,39.18,-84.53,75.99,83,75,3.36,US,2020-08-22 14:21:40,light rain
7,San Patricio,19.22,-104.7,80.47,82,4,2.24,MX,2020-08-22 14:17:26,clear sky
8,Mataura,-46.19,168.86,42.01,96,93,1.01,NZ,2020-08-22 14:21:41,overcast clouds
9,Bredasdorp,-34.53,20.04,68.0,60,0,12.75,ZA,2020-08-22 14:21:41,clear sky
10,Danjiangkou,32.54,111.51,72.36,93,97,1.34,CN,2020-08-22 14:21:41,overcast clouds
11,Dikson,73.51,80.55,46.76,77,4,15.05,RU,2020-08-22 14:17:47,clear sky
12,Yakeshi,49.28,120.73,64.0,71,100,4.99,CN,2020-08-22 14:21:41,overcast clouds
13,Shimoda,34.67,138.95,75.0,89,99,3.22,JP,2020-08-22 14:21:41,light rain
14,Portland,45.52,-122.68,61.0,87,20,2.75,US,2020-08-22 14:17:34,few clouds
15,Denpasar,-8.65,115.22,78.8,100,20,11.41,ID,2020-08-22 14:18:10,few clouds
16,Hithadhoo,-0.6,73.08,83.62,78,0,13.38,MV,2020-08-22 14:17:42,clear sky
17,Talnakh,69.49,88.4,62.6,59,100,8.95,RU,2020-08-22 14:17:45,overcast clouds
18,Puerto Ayora,-0.74,-90.35,66.0,94,100,4.0,EC,2020-08-22 14:17:39,overcast clouds
19,Kruisfontein,-34.0,24.73,66.0,52,0,7.02,ZA,2020-08-22 14:17:28,clear sky
20,Hasaki,35.73,140.83,78.8,88,75,4.7,JP,2020-08-22 14:21:42,broken clouds
21,Yulara,-25.24,130.99,55.4,30,0,5.82,AU,2020-08-22 14:21:42,clear sky
22,Monrovia,6.3,-10.8,80.6,94,75,8.05,LR,2020-08-22 14:20:17,broken clouds
23,Mount Isa,-20.73,139.5,62.6,25,78,6.93,AU,2020-08-22 14:18:12,broken clouds
24,Port Elizabeth,-33.92,25.57,73.4,35,0,8.05,ZA,2020-08-22 14:21:42,clear sky
25,Raga,8.46,25.68,83.32,77,100,3.6,SS,2020-08-22 14:21:42,light rain
26,Tuktoyaktuk,69.45,-133.04,42.8,100,40,9.17,CA,2020-08-22 14:21:42,scattered clouds
27,Bluff,-46.6,168.33,42.01,96,34,1.01,NZ,2020-08-22 14:21:42,scattered clouds
28,Busselton,-33.65,115.33,54.0,74,85,7.72,AU,2020-08-22 14:17:23,overcast clouds
